Id, Region, Country, TotalCases, TotalTests, ActiveCases
2868,Europe,Bosnia and Herzegovina,402890,0,7467
2870,Europe,North Macedonia,348215,0,1471
2873,Europe,Albania,334726,0,1696
2875,Europe,Luxembourg,319959,0,2037
2877,Europe,Montenegro,291820,0,583
2886,Europe,Iceland,209191,0,-1
2899,Europe,Malta,118574,0,588
2902,Europe,Channel Islands,101717,0,168
2924,Europe,Andorra,48015,0,287
2934,Europe,Isle of Man,38008,0,-1
2936,Europe,Faeroe Islands,34658,0,-1
2946,Europe,San Marino,24247,0,24
2949,Europe,Liechtenstein,21437,0,1
2950,Europe,Gib
