Id, Region, Country, TotalCases, TotalTests, ActiveCases
1441,Europe,Finland,1477021,12090288,4857
1443,Europe,Slovenia,1343626,2847701,8520
1444,Europe,Lithuania,1319481,10444610,1431
1445,Europe,Bulgaria,1305937,11206260,2200
1447,Europe,Croatia,1273256,5588632,479
1460,Europe,Belarus,994037,13646641,1327
1461,Europe,Latvia,977833,7875439,194
1472,Europe,Moldova,620419,3216305,104164
1473,Europe,Estonia,618218,3707220,90227
1482,Europe,Bosnia and Herzegovina,402890,1884721,7467
1484,Europe,North Macedonia,348215,2226216,1471
1487,Europe,Albania,334726,1941032,1696
1489,Europe,Luxembourg,319959,4587145,2037
1491,Europe,Montenegro,291798,2752386,588
1500,Europe,Iceland,209191,1996384,-1
1513,Europe,Malta,118574,2137285,588
1516,Europe,Channel Islands,101717,1252808,168
1538,Europe,Andorra,48015,249838,287
1548,Europe,Isle of Man,38008,150753,-1
1550,Europe,Faeroe Islands,34658,778000,-1
1560,Europe,San Marino,24210,196855,72
1563,Europe,Liechtenstein,21437,112457,1
1564,Europe,Gibraltar,20550,534283,3858
1573,Europe,Monaco,16760,78646,701
1613,Europe,Vatican City,29,-1,0
1620,Europe,France,40044973,271490188,93541
1621,Europe,Germany,38417622,122332384,24325
1625,Europe,Italy,25828252,272079213,126475
1626,Europe,UK,24569895,522526476,2646
1627,Europe,Russia,22900755,273400000,178807
1629,Europe,Spain,13845825,471036328,43847
1634,Europe,Netherlands,8610372,25984435,0
1638,Europe,Poland,6515598,38699972,1060073
1640,Europe,Austria,6072229,211273524,6932
1641,Europe,Greece,6025776,102228365,7232
1642,Europe,Portugal,5582987,46082209,5162
1643,Europe,Ukraine,5538357,32603805,19743
1647,Europe,Belgium,4797108,37018657,9768
1650,Europe,Czechia,4641335,57196320,1426
1653,Europe,Switzerland,4404327,23833472,4109
1656,Europe,Romania,3397365,27242332,7241
1657,Europe,Denmark,3181366,129276961,781
1659,Europe,Sweden,2708137,19500873,3355
1660,Europe,Serbia,2538655,12852191,5444
1664,Europe,Hungary,2202179,11394556,3472
1666,Europe,Slovakia,1866647,7428816,335
1669,Europe,Ireland,1711233,13083449,2300
1671,Europe,Norway,1483639,11002430,499
1672,Europe,Finland,1477021,12090288,4857
1674,Europe,Slovenia,1343626,2847701,8520
1675,Europe,Lithuania,1319481,10444610,1431
1676,Europe,Bulgaria,1305937,11206260,2200
1678,Europe,Croatia,1273256,5588632,479
1691,Europe,Belarus,994037,13646641,1327
1692,Europe,Latvia,977833,7875439,194
1703,Europe,Moldova,620419,3216305,104164
1704,Europe,Estonia,618218,3707220,90227
1713,Europe,Bosnia and Herzegovina,402890,1884721,7467
1715,Europe,North Macedonia,348215,2226216,1471
1718,Europe,Albania,334726,1941032,1696
1720,Europe,Luxembourg,319959,4587145,2037
1722,Europe,Montenegro,291798,2752386,588
1731,Europe,Iceland,209191,1996384,-1
1744,Europe,Malta,118574,2137285,588
1747,Europe,Channel Islands,101717,1252808,168
1769,Europe,Andorra,48015,249838,287
1779,Europe,Isle of Man,38008,150753,-1
1781,Europe,Faeroe Islands,34658,778000,-1
1791,Europe,San Marino,24210,196855,72
1794,Europe,Liechtenstein,21437,112457,1
1795,Europe,Gibraltar,20550,534283,3858
1804,Europe,Monaco,16760,78646,701
1844,Europe,Vatican City,29,-1,0
1851,Europe,France,40045596,271490188,85269
1852,Europe,Germany,38418899,122332384,25565
1856,Europe,Italy,25828252,272079213,126475
1857,Europe,UK,24569895,522526476,1004
1858,Europe,Russia,22900755,273400000,178807
1860,Europe,Spain,13845825,471036328,43847
1865,Europe,Netherlands,8610372,25984435,0
1869,Europe,Poland,6515598,38699972,1060073
1871,Europe,Austria,6072229,211273524,6932
1872,Europe,Greece,6025776,102228365,6199
1873,Europe,Portugal,5582987,46082209,2195
1874,Europe,Ukraine,5538357,32603805,19743
1878,Europe,Belgium,4797108,37018657,9230
1881,Europe,Czechia,4641335,57196320,1426
1884,Europe,Switzerland,4404327,23833472,4109
1887,Europe,Romania,3397365,27242332,7241
1888,Europe,Denmark,3181366,129276961,786
1890,Europe,Sweden,2708137,19500873,3245
1891,Europe,Serbia,2538899,12858629,5230
1895,Europe,Hungary,2202179,11394556,3472
1897,Europe,Slovakia,1866647,7428816,335
1900,Europe,Ireland,1711233,13083449,2300
1902,Europe,Norway,1483639,11002430,474
1903,Europe,Finland,1477021,12090288,4607
1905,Europe,Slovenia,1343626,2847701,8520
1906,Europe,Lithuania,1319481,10444610,1431
1907,Europe,Bulgaria,1306103,11209774,2129
1909,Europe,Croatia,1273508,5588632,383
1922,Europe,Belarus,994037,13646641,1327
1923,Europe,Latvia,977833,7875439,194
1934,Europe,Moldova,620419,3216305,104164
1935,Europe,Estonia,618218,3707220,90227
1944,Europe,Bosnia and Herzegovina,402890,1884721,7467
1946,Europe,North Macedonia,348215,2226216,1471
1949,Europe,Albania,334726,1941032,1696
1951,Europe,Luxembourg,319959,4587145,2037
1953,Europe,Montenegro,291820,2752880,583
1962,Europe,Iceland,209191,1996384,-1
1975,Europe,Malta,118574,2137285,588
1978,Europe,Channel Islands,101717,1252808,168
2000,Europe,Andorra,48015,249838,287
2010,Europe,Isle of Man,38008,150753,-1
2012,Europe,Faeroe Islands,34658,778000,-1
2022,Europe,San Marino,24247,196855,24
2025,Europe,Liechtenstein,21437,112457,1
2026,Europe,Gibraltar,20550,534283,3858
2035,Europe,Monaco,16760,78646,701
2075,Europe,Vatican City,29,-1,0
2082,Europe,France,40045596,271490188,85269
